#voltaje, posicion, velocidad
-6.185308848080133, -59240129.0, -11.69591
-6.160267111853088, -59333377.0, -11.56069
-6.135225375626042, -59426020.0, -11.49425
-6.110183639398999, -59517509.0, -11.49425
-6.085141903171953, -59608313.0, -11.23596
-6.060100166944908, -59698705.0, -11.23596
-6.0350584307178625, -59787908.0, -11.04972
-6.010016694490817, -59877020.0, -11.04972
-5.9849749582637735, -59965097.0, -10.98901
-5.959933222036728, -60052253.0, -10.98901
-5.934891485809683, -60138600.0, -10.52632
-5.909849749582637, -60224193.0, -10.69519
-5.884808013355592, -60311292.0, -10.81081
-5.859766277128548, -60397804.0, -10.86957
-5.834724540901503, -60484244.0, -10.86957
-5.809682804674457, -60569832.0, -10.69519
-5.784641068447412, -60654897.0, -10.6383
-5.7595993322203665, -60739140.0, -10.58201
-5.734557595993323, -60822857.0, -10.52632
-5.709515859766277, -60906257.0, -10.15228
-5.684474123539232, -60988529.0, -10.36269
-5.659432387312187, -61070621.0, -10.25641
-5.634390651085141, -61152157.0, -10.15228
-5.6093489148580975, -61232537.0, -10.05025
-5.584307178631052, -61312165.0, -10.05025
-5.559265442404007, -61391269.0, -10.0
-5.534223706176961, -61469997.0, -9.708738
-5.509181969949916, -61548009.0, -9.803922
-5.48414023372287, -61625517.0, -9.569378
-5.459098497495827, -61702045.0, -9.478673
-5.434056761268781, -61778092.0, -9.433962
-5.409015025041736, -61853053.0, -9.302325
-5.3839732888146905, -61927893.0, -9.259259
-5.358931552587645, -62001992.0, -9.259259
-5.333889816360601, -62075465.0, -9.009009
-5.308848080133556, -62147989.0, -9.090909
-5.283806343906511, -62219885.0, -8.849558
-5.258764607679465, -62290993.0, -8.888889
-5.23372287145242, -62361369.0, -8.658009
-5.208681135225376, -62431001.0, -8.695652
-5.183639398998331, -62500013.0, -8.620689
-5.158597662771285, -62568273.0, -8.403361
-5.13355592654424, -62635697.0, -8.333333
-5.1085141903171944, -62702956.0, -8.368201
-5.083472454090151, -62769677.0, -8.264462
-5.058430717863105, -62835256.0, -8.230453
-5.03338898163606, -62900525.0, -8.130081
-5.0083472454090145, -62965137.0, -8.0
-4.983305509181969, -63029045.0, -7.905138
-4.9582637729549255, -63092345.0, -7.8125
-4.93322203672788, -63155013.0, -7.874016
